SOURCE_DRUG	UNIPROT	P_SCORE	DIRECTIONALITY	PUBCHEM_ID	DRUGBANK_ID	DRUGBANK_GROUP	ATCCODES
Metformin	ZN396_HUMAN	1.53601286	Stimulatory	CID4091	DB00331	approved	A10BD11|A10BA02
Phenformin	KI2L3_HUMAN	-6.33081681	Inhibitory	CID8249	DB00914	approved|withdrawn	A10BA01
PHENYL BIGUANIDE	RHOC_HUMAN	-4.21084571	Inhibitory	CID4780			
Valproic Acid	GSK3B_HUMAN	-58.47057966	Inhibitory	CID3121	DB00313	approved|investigational	N03AG01
Estradiol	PE2R4_HUMAN	7.81314304	Stimulatory	CID5757	DB00783	approved|investigational	G03CA03|G03CA01|L02AA03|L02AA02
alpha-Estradiol	LEPR_HUMAN	-12.53831137	Inhibitory	CID68570			
Dexamethasone	AR6P1_HUMAN	-4.27183434	Inhibitory	CID5743	DB01234	approved|investigational	D10AA03|S02BA06|D07AB19|S03BA01|S01BA01|A01AC02|S01CB01|H02AB02|R01AD03|D07XB05|C05AA09
Mesalazine	MADCA_HUMAN	-5.44490813	Inhibitory	CID4075	DB00244	approved	A07EC02
Chlorpropamide	INS_HUMAN	14.17370407	Stimulatory	CID2727	DB00672	approved	A10BB02
Tolbutamide	CO2_HUMAN	7.70867207	Stimulatory	CID5505	DB01124	approved	V04CA01|A10BB03
Tamoxifen	ESR1_HUMAN	-6.60079087	Inhibitory	CID2733526	DB00675	approved	L02BA01
Verapamil	AT1A1_HUMAN	4.99136118	Stimulatory	CID2520	DB00661	approved	C08DA01
Dexverapamil	CAH1_HUMAN	-14.01138621	Inhibitory	CID2520	DB00661	approved	C08DA01
Exemestane	ALDR_HUMAN	3.84975752	Stimulatory	CID60198	DB00990	approved|investigational	L02BG06
Rofecoxib	PHF11_HUMAN	-3.31265462	Inhibitory	CID5090	DB00533	investigational|withdrawn	M01AH02
Amitriptyline	TPM3_HUMAN	20.18627676	Stimulatory	CID2160	DB00321	approved	N06AA09
Sulindac	IL1B_HUMAN	-14.21493879	Inhibitory	CID1548887	DB00605	approved	M01AB02
Tacrolimus	GLUC_HUMAN	-8.24543631	Inhibitory	CID445643	DB00864	approved|investigational	L04AD02|D11AH01
Raloxifene	MAF_HUMAN	20.8143821	Stimulatory	CID5035	DB00481	approved|investigational	G03XC01
Nordihydroguaiaretic Acid	MMP13_HUMAN	-17.93102834	Inhibitory	CID4534			
Sulfasalazine	IKKB_HUMAN	-61.69751135	Inhibitory	CID5353980			
Celecoxib	CCL2_HUMAN	-35.07237328	Inhibitory	CID2662	DB00482	approved|investigational	L01XX33|M01AH01
SC-58125	EVG1_HUMAN	-0.29575	Inhibitory	CID115239			
Tanespimycin	BRCA2_HUMAN	-28.79157128	Inhibitory	CID6505803			
Tomelukast	GIPR_HUMAN	3.49060352	Stimulatory	CID3969			
TTNPB	ABCA1_HUMAN	30.63775034	Stimulatory	CID5289501	DB02877	experimental	
Tretinoin	TOP2A_HUMAN	36.93394566	Stimulatory	CID444795	DB00523	approved|investigational	L01XX22|D11AH04
LY-294002	TNF11_HUMAN	-14.83020864	Inhibitory	CID3973			
Ciclosporin	CATL1_HUMAN	-8.93504903	Inhibitory	CID5280754	DB00091	approved|investigational	L04AD01|S01XA18
Indometacin	MSH3_HUMAN	-19.30288482	Inhibitory	CID3715	DB00328	approved|investigational	M01AB01|C01EB03
Clofibrate	EDN1_HUMAN	-11.72754588	Inhibitory	CID2796	DB00636	approved	C10AB03|C10AB01
MK-886	TERF1_HUMAN	-24.36618881	Inhibitory	CID4519262			
