lincs_id	chembl_id
BRD-A00100033	CHEMBL1486475
BRD-A00100033	CHEMBL3054192
BRD-A00420644	CHEMBL1403744
BRD-A00420644	CHEMBL2049707
BRD-A00520476	CHEMBL17045
BRD-A00520476	CHEMBL630954
BRD-A00546892	CHEMBL1101
BRD-A00546892	CHEMBL762221
BRD-A00626522	CHEMBL1370683
BRD-A00626522	CHEMBL1936986
BRD-A00758722	CHEMBL1439866
BRD-A00758722	CHEMBL2175804
BRD-A00827783	CHEMBL1063364
BRD-A00827783	CHEMBL1752
BRD-A00993607	CHEMBL1127916
BRD-A00993607	CHEMBL266195
BRD-A00993607	CHEMBL3307792
BRD-A00993607	CHEMBL615822
BRD-A01078468	CHEMBL1127116
BRD-A01078468	CHEMBL3308027
BRD-A01078468	CHEMBL615651
BRD-A01078468	CHEMBL6615
BRD-A01145011	CHEMBL1971942
BRD-A01145011	CHEMBL3123490
BRD-A01295252	CHEMBL110239
BRD-A01295252	CHEMBL779593
BRD-A01320529	CHEMBL1263
BRD-A01636364	CHEMBL1098
BRD-A01636364	CHEMBL756102
BRD-A01787639	CHEMBL142635
BRD-A01826957	CHEMBL1624126
BRD-A01826957	CHEMBL2816411
BRD-A01973626	CHEMBL1561166
BRD-A01973626	CHEMBL2433397
BRD-A01999384	CHEMBL564735
BRD-A01999384	CHEMBL958424
BRD-A02006392	CHEMBL475534
BRD-A02006392	CHEMBL885570
BRD-A02176148	CHEMBL1479987
BRD-A02176148	CHEMBL3062924
BRD-A02180903	CHEMBL1610678
BRD-A02180903	CHEMBL2766387
BRD-A02189320	CHEMBL1623474
BRD-A02189320	CHEMBL2821410
BRD-A02198599	CHEMBL1574387
BRD-A02198599	CHEMBL2845280
BRD-A02241946	CHEMBL1085147
BRD-A02241946	CHEMBL1111934
BRD-A02481876	CHEMBL1498173
BRD-A02481876	CHEMBL3078117
BRD-A02710418	CHEMBL314437
BRD-A02710418	CHEMBL746535
BRD-A02747686	CHEMBL2142779
BRD-A02759312	CHEMBL1128037
BRD-A02759312	CHEMBL3308482
BRD-A02759312	CHEMBL423
BRD-A02759312	CHEMBL616539
BRD-A02809788	CHEMBL1794269
BRD-A02809788	CHEMBL2961692
BRD-A02990301	CHEMBL1137835
BRD-A02990301	CHEMBL17860
BRD-A02990301	CHEMBL4198
BRD-A02990301	CHEMBL634590
BRD-A03061970	CHEMBL1759833
BRD-A03061970	CHEMBL290194
BRD-A03061970	CHEMBL879691
BRD-A03216249	CHEMBL1087
BRD-A03216249	CHEMBL753509
BRD-A03359064	CHEMBL11268
BRD-A03359064	CHEMBL627779
BRD-A03427350	CHEMBL3186192
BRD-A03427350	CHEMBL4025626
BRD-A03436432	CHEMBL1473372
BRD-A03623303	CHEMBL1127724
BRD-A03623303	CHEMBL13
BRD-A03623303	CHEMBL3308490
BRD-A03623303	CHEMBL615393
BRD-A03772856	CHEMBL1522995
BRD-A03772856	CHEMBL2345990
BRD-A03816571	CHEMBL727268
BRD-A03816571	CHEMBL77520
BRD-A03946276	CHEMBL1479664
BRD-A03946276	CHEMBL3064563
BRD-A04020513	CHEMBL1256575
BRD-A04020513	CHEMBL1661180
BRD-A04260165	CHEMBL574558
